Index,Season,Week,Day,Date,Time,Home,Away,ScoreH,ScoreA,Attendance,Venue,Longitude,Latitude,Capacity,H_Followers,A_Followers,Rank_H,Rank_A,Families,Period,Weekend,TemperatureC,DewPoint,RH,LaggedAttendance,RankDiff,GameImp
28,2010,4,Sunday,2010-08-29,22:15:00,Al-Wehda,Al-Hilal,1,3,6244,King Abdul Aziz Sport City Stadium,39.974081,21.485366,38000,226600,9600000,11,1,No,Night,No,34,23,52.77,232,10,1
29,2010,5,Thursday,2010-09-16,20:30:00,Al-Hazem,Al-Wehda,1,1,30,Al-Hazm Club Stadium,43.50235,25.862347,3000,49700,226600,14,12,No,Night,Yes,35,4,14.47,23,2,1
30,2010,5,Thursday,2010-09-16,20:30:00,Al-Faisaly,Al-Nassr,1,1,3288,King Salman Bin Abdul Aziz Sport City Stadium,45.368019,25.886929,7000,103900,3100000,13,5,No,Night,Yes,35,4,14.47,2195,8,1
31,2010,5,Thursday,2010-09-16,20:30:00,Al-Ahli,Al-Ittihad,1,3,16350,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,2000000,4000000,10,2,No,Night,Yes,30.2,26,78.29,6159,8,1
32,2010,5,Friday,2010-09-17,20:20:00,Al-Taawoun,Al-Raed,1,0,15160,King Abdullah Sport City Stadium,43.9478,26.3789,25000,208700,149200,7,3,No,Night,Yes,34,10,23.07,12707,4,1
33,2010,5,Friday,2010-09-17,20:20:00,Al-Ettifaq,Najran,1,0,880,Prince Mohamed bin Fahd Stadium,50.1141,26.4272,26000,226500,31200,6,11,No,Night,Yes,30,21,58.58,655,5,1
34,2010,6,Wednesday,2010-09-22,20:15:00,Al-Raed,Al-Ittihad,1,2,2828,King Abdullah Sport City Stadium,43.9478,26.3789,25000,149200,4000000,3,2,No,Night,No,36,8,18.05,2395,1,1
35,2010,6,Wednesday,2010-09-22,20:15:00,Al-Faisaly,Al-Hazem,3,1,83,King Salman Bin Abdul Aziz Sport City Stadium,45.368019,25.886929,7000,103900,49700,13,14,No,Night,No,36,8,18.05,3288,1,1
36,2010,6,Wednesday,2010-09-22,20:15:00,Al-Wehda,Al-Ettifaq,0,1,110,King Abdul Aziz Sport City Stadium,39.974081,21.485366,38000,226600,226500,10,5,No,Night,No,33,19,43.65,6244,5,1
37,2010,6,Thursday,2010-09-23,20:15:00,Al-Taawoun,Najran,2,3,3417,King Abdullah Sport City Stadium,43.9478,26.3789,25000,208700,31200,7,12,No,Night,Yes,35,9,20.41,15160,5,1
38,2010,6,Thursday,2010-09-23,20:15:00,Al-Qadisiyah,Al-Nassr,1,3,9361,Prince Mohamed bin Fahd Stadium,50.1141,26.4272,26000,91700,3100000,4,4,No,Night,Yes,30,20,55.08,162,0,1
39,2010,7,Monday,2010-09-27,20:10:00,Najran,Al-Shabab,1,2,960,Al-Ukhdood Stadium,44.24472,17.59028,2800,31200,414900,9,9,No,Night,No,26,-3,14.61,1126,0,1
