Weak,Day,Date,Time,Home,Away,ScoreH,ScoreA,Attendance,Venue
9,Saturday,2010-10-16,19:55:00,Al-Raed,Al-Ettifaq,0,3,7278,King Abdullah Sport City Stadium
9,Saturday,2010-10-16,19:55:00,Al-Hazem,Al-Taawon,0,3,608,Alhazm Club Stadium
9,Saturday,2010-10-16,19:55:00,Al-Fateh,Al-Faisaly,0,1,364,Prince Abdullah Bin Jalawi Sport City Stadium
10,Wednesday,2010-10-20,19:50:00,Al-Fateh,Al-Ittihad FC,0,0,3155,Prince Abdullah Bin Jalawi Sport City Stadium
9,Thursday,2010-10-21,16:05:00,Al-Nassr,Al Ahli SC,2,1,7422,Prince Faisal bin Fahad Stadium
10,Thursday,2010-10-21,19:50:00,Al Wehda,Najran,2,0,1198,King Abdul Aziz Sport City Stadium
10,Thursday,2010-10-21,19:50:00,Al Qadisiya,Al-Raed,1,1,261,Prince Saud Bin Jalawi Sport City Stadium
10,Friday,2010-10-22,19:50:00,Al-Faisaly,Al-Taawon,2,1,1009,King Salman Bin Abdul Aziz Sport City Stadium
10,Friday,2010-10-22,19:50:00,Al-Ettifaq,Al-Hazem,2,1,1569,Prince Mohamed bin Fahd Stadium
10,Sunday,2010-10-24,19:50:00,Al-Hilal,Al-Nassr,1,1,18058,King Fahad International Stadium
10,Tuesday,2010-10-26,19:50:00,Al Ahli SC,Al-Shabab,1,2,5358,Prince Abdullah Al-Faisal Stadium
11,Thursday,2010-10-28,19:45:00,Najran,Al-Hazem,4,0,546,AlAkhdoud Club Stadium
11,Thursday,2010-10-28,19:45:00,Al-Raed,Al-Hilal,0,4,13592,King Abdullah Sport City Stadium
11,Thursday,2010-10-28,19:45:00,Al-Nassr,Al-Ettifaq,2,1,4591,King Fahad International Stadium
11,Friday,2010-10-29,19:45:00,Al-Taawon,Al-Fateh,0,0,2799,King Abdullah Sport City Stadium
11,Friday,2010-10-29,19:45:00,Al-Shabab,Al Wehda,4,3,458,Prince Faisal bin Fahad Stadium
11,Friday,2010-10-29,19:45:00,Al Qadisiya,Al-Ittihad FC,1,1,5558,Prince Saud Bin Jalawi Sport City Stadium
11,Saturday,2010-10-30,19:45:00,Al-Faisaly,Al Ahli SC,3,2,674,King Salman Bin Abdul Aziz Sport City Stadium
12,Tuesday,2010-11-02,19:40:00,Al-Hilal,Al Qadisiya,0,0,6620,Prince Faisal bin Fahad Stadium
12,Tuesday,2010-11-02,19:40:00,Al-Fateh,Najran,2,0,379,Prince Abdullah Bin Jalawi Sport City Stadium
12,Wednesday,2010-11-03,19:40:00,Al-Raed,Al-Faisaly,0,0,5930,King Abdullah Sport City Stadium
12,Wednesday,2010-11-03,19:40:00,Al-Ittihad FC,Al-Shabab,2,2,10748,Prince Abdullah Al-Faisal Stadium
12,Wednesday,2010-11-03,19:40:00,Al-Hazem,Al-Nassr,2,5,1790,Alhazm Club Stadium
12,Wednesday,2010-11-03,19:40:00,Al-Ettifaq,Al-Taawon,1,0,1194,Prince Mohamed bin Fahd Stadium
12,Wednesday,2010-11-03,19:40:00,Al Wehda,Al Ahli SC,1,3,1836,King Abdul Aziz Sport City Stadium
6,Sunday,2010-11-07,19:45:00,Al-Hilal,Al Ahli SC,3,3,7715,Prince Faisal bin Fahad Stadium
6,Sunday,2010-11-07,19:45:00,Al-Fateh,Al-Shabab,1,1,1078,Prince Abdullah Bin Jalawi Sport City Stadium
13,Wednesday,2010-11-10,19:35:00,Al-Taawon,Al Wehda,1,2,2613,King Abdullah Sport City Stadium
13,Wednesday,2010-11-10,19:35:00,Al-Nassr,Al-Ittihad FC,2,2,14750,Prince Faisal bin Fahad Stadium
13,Thursday,2010-11-11,19:35:00,Najran,Al-Hilal,0,3,368,AlAkhdoud Club Stadium
13,Thursday,2010-11-11,19:35:00,Al-Shabab,Al-Faisaly,4,1,595,Prince Faisal bin Fahad Stadium
13,Thursday,2010-11-11,19:35:00,Al-Hazem,Al-Fateh,2,1,97,Alhazm Club Stadium
13,Thursday,2010-11-11,19:35:00,Al Qadisiya,Al-Ettifaq,0,3,3978,Prince Saud Bin Jalawi Sport City Stadium
13,Thursday,2010-11-11,19:35:00,Al Ahli SC,Al-Raed,1,2,8014,Prince Abdullah Al-Faisal Stadium
14,Thursday,2010-12-09,19:10:00,Al-Faisaly,Al Wehda,1,0,636,King Salman Bin Abdul Aziz Sport City Stadium
14,Thursday,2010-12-09,19:35:00,Al-Raed,Al-Shabab,2,2,4134,King Abdullah Sport City Stadium
14,Thursday,2010-12-09,19:35:00,Al Qadisiya,Al-Fateh,0,1,11220,King Abdullah Sport City Stadium
14,Friday,2010-12-10,19:35:00,Al-Taawon,Al-Hilal,2,2,174,Prince Saud Bin Jalawi Sport City Stadium
14,Friday,2010-12-10,19:35:00,Al-Nassr,Najran,6,1,3009,Prince Faisal bin Fahad Stadium
14,Friday,2010-12-10,19:35:00,Al-Hazem,Al Ahli SC,1,3,214,Alhazm Club Stadium
14,Friday,2010-12-10,19:35:00,Al-Ettifaq,Al-Ittihad FC,2,2,10032,Prince Mohamed bin Fahd Stadium
15,Tuesday,2010-12-14,19:40:00,Al-Shabab,Al-Taawon,4,1,291,Prince Faisal bin Fahad Stadium
15,Wednesday,2010-12-15,19:40:00,Al-Hilal,Al-Hazem,3,0,3968,Prince Faisal bin Fahad Stadium
15,Wednesday,2010-12-15,19:40:00,Al-Fateh,Al-Nassr,1,1,7143,Prince Abdullah Bin Jalawi Sport City Stadium
15,Wednesday,2010-12-15,19:40:00,Al Ahli SC,Al-Ettifaq,5,1,5938,Prince Abdullah Al-Faisal Stadium
15,Thursday,2010-12-16,19:40:00,Najran,Al-Raed,0,0,369,AlAkhdoud Club Stadium
15,Thursday,2010-12-16,19:40:00,Al-Ittihad FC,Al-Faisaly,3,3,9446,Prince Abdullah Al-Faisal Stadium
5,Saturday,2010-12-18,19:45:00,Al-Shabab,Al Qadisiya,3,1,346,Prince Faisal bin Fahad Stadium
5,Sunday,2010-12-19,19:35:00,Al-Hilal,Al-Fateh,2,0,4375,Prince Faisal bin Fahad Stadium
16,Wednesday,2010-12-22,19:35:00,Najran,Al-Ittihad FC,2,2,1729,AlAkhdoud Club Stadium
16,Wednesday,2010-12-22,19:35:00,Al-Nassr,Al-Taawon,2,2,3690,Prince Faisal bin Fahad Stadium
16,Wednesday,2010-12-22,19:35:00,Al Wehda,Al-Raed,2,3,261,King Abdul Aziz Sport City Stadium
16,Thursday,2010-12-23,19:35:00,Al-Fateh,Al Ahli SC,0,2,2860,Prince Abdullah Bin Jalawi Sport City Stadium
16,Thursday,2010-12-23,19:35:00,Al-Faisaly,Al-Hilal,2,3,5022,King Salman Bin Abdul Aziz Sport City Stadium
16,Thursday,2010-12-23,19:35:00,Al-Ettifaq,Al-Shabab,1,0,3240,Prince Mohamed bin Fahd Stadium
16,Thursday,2010-12-23,19:35:00,Al Qadisiya,Al-Hazem,1,0,100,Prince Saud Bin Jalawi Sport City Stadium
8,Sunday,2011-02-06,20:15:00,Al-Shabab,Al-Hazem,1,0,66,Prince Faisal bin Fahad Stadium
7,Sunday,2011-02-06,20:15:00,Al-Ittihad FC,Al-Hilal,0,0,14425,Prince Abdullah Al-Faisal Stadium
17,Friday,2011-02-11,20:15:00,Al-Raed,Al-Fateh,1,2,5501,King Abdullah Sport City Stadium
17,Friday,2011-02-11,20:15:00,Al-Faisaly,Al-Ettifaq,1,0,617,King Salman Bin Abdul Aziz Sport City Stadium
17,Friday,2011-02-11,20:15:00,Al Ahli SC,Najran,2,1,6540,Prince Abdullah Al-Faisal Stadium
17,Saturday,2011-02-12,20:15:00,Al-Taawon,Al Qadisiya,1,1,2610,King Abdullah Sport City Stadium
17,Saturday,2011-02-12,20:15:00,Al-Shabab,Al-Nassr,2,0,9366,King Fahad International Stadium
17,Saturday,2011-02-12,20:15:00,Al-Hilal,Al Wehda,2,1,5119,Prince Faisal bin Fahad Stadium
17,Saturday,2011-02-12,20:15:00,Al-Hazem,Al-Ittihad FC,0,3,633,Alhazm Club Stadium
9,Monday,2011-02-21,20:15:00,Al-Shabab,Al-Hilal,0,2,7997,Prince Faisal bin Fahad Stadium
18,Thursday,2011-02-24,20:20:00,Al-Nassr,Al-Faisaly,3,2,3290,Prince Faisal bin Fahad Stadium
18,Thursday,2011-02-24,20:20:00,Al-Ittihad FC,Al Ahli SC,2,0,15758,Prince Abdullah Al-Faisal Stadium
18,Thursday,2011-02-24,20:20:00,Al Wehda,Al-Hazem,8,1,233,King Abdul Aziz Sport City Stadium
18,Friday,2011-02-25,20:20:00,Najran,Al-Ettifaq,2,4,1460,AlAkhdoud Club Stadium
18,Friday,2011-02-25,20:20:00,Al-Raed,Al-Taawon,0,0,14909,King Abdullah Sport City Stadium
18,Friday,2011-02-25,20:20:00,Al-Fateh,Al-Hilal,1,2,9281,Prince Abdullah Bin Jalawi Sport City Stadium
18,Friday,2011-02-25,20:20:00,Al Qadisiya,Al-Shabab,1,1,266,Prince Saud Bin Jalawi Sport City Stadium
19,Thursday,2011-03-03,20:25:00,Al-Hazem,Al-Faisaly,0,3,93,Alhazm Club Stadium
19,Friday,2011-03-04,20:25:00,Najran,Al-Taawon,0,3,683,AlAkhdoud Club Stadium
19,Friday,2011-03-04,20:25:00,Al-Ettifaq,Al Wehda,3,0,1587,Prince Mohamed bin Fahd Stadium
19,Sunday,2011-03-06,20:25:00,Al-Shabab,Al-Fateh,0,0,103,Prince Faisal bin Fahad Stadium
19,Sunday,2011-03-06,20:25:00,Al-Nassr,Al Qadisiya,0,0,2679,King Fahad International Stadium
19,Sunday,2011-03-06,20:25:00,Al Ahli SC,Al-Hilal,1,1,15715,Prince Abdullah Al-Faisal Stadium
19,Monday,2011-03-07,20:25:00,Al-Ittihad FC,Al-Raed,3,0,4398,Prince Abdullah Al-Faisal Stadium
20,Thursday,2011-03-17,20:30:00,Al-Raed,Al-Hazem,2,0,4949,King Abdullah Sport City Stadium
20,Thursday,2011-03-17,20:30:00,Al-Fateh,Al-Ettifaq,1,0,914,Prince Abdullah Bin Jalawi Sport City Stadium
20,Friday,2011-03-18,20:30:00,Al-Taawon,Al Ahli SC,2,1,3956,King Abdullah Sport City Stadium
20,Friday,2011-03-18,20:30:00,Al-Faisaly,Al Qadisiya,2,1,532,King Salman Bin Abdul Aziz Sport City Stadium
20,Sunday,2011-03-20,20:30:00,Al-Shabab,Najran,0,1,46,Prince Faisal bin Fahad Stadium
20,Sunday,2011-03-20,20:30:00,Al-Hilal,Al-Ittihad FC,0,0,19212,King Fahad International Stadium
20,Sunday,2011-03-20,20:30:00,Al Wehda,Al-Nassr,1,3,2921,King Abdul Aziz Sport City Stadium
21,Friday,2011-04-01,20:35:00,Al-Nassr,Al-Raed,1,0,3136,Prince Faisal bin Fahad Stadium
21,Friday,2011-04-01,20:35:00,Al-Ittihad FC,Al-Taawon,0,1,4037,Prince Abdullah Al-Faisal Stadium
21,Friday,2011-04-01,20:35:00,Al-Hazem,Al-Shabab,0,4,82,Alhazm Club Stadium
21,Friday,2011-04-01,20:35:00,Al-Ettifaq,Al-Hilal,2,3,21174,Prince Mohamed bin Fahd Stadium
21,Saturday,2011-04-02,20:35:00,Najran,Al-Faisaly,0,1,709,AlAkhdoud Club Stadium
21,Saturday,2011-04-02,20:35:00,Al-Fateh,Al Wehda,2,1,895,Prince Abdullah Bin Jalawi Sport City Stadium
21,Saturday,2011-04-02,20:35:00,Al Qadisiya,Al Ahli SC,1,3,1432,Prince Mohamed bin Fahd Stadium
22,Thursday,2011-04-07,20:35:00,Al-Ettifaq,Al-Raed,2,2,628,Prince Mohamed bin Fahd Stadium
22,Thursday,2011-04-07,20:35:00,Al Qadisiya,Najran,2,3,209,Prince Saud Bin Jalawi Sport City Stadium
22,Friday,2011-04-08,20:35:00,Al-Taawon,Al-Hazem,2,0,8144,King Abdullah Sport City Stadium
22,Friday,2011-04-08,20:35:00,Al-Faisaly,Al-Fateh,1,2,809,King Salman Bin Abdul Aziz Sport City Stadium
22,Sunday,2011-04-10,20:35:00,Al-Hilal,Al-Shabab,2,1,13203,King Fahad International Stadium
22,Sunday,2011-04-10,20:35:00,Al Wehda,Al-Ittihad FC,1,2,3036,King Abdul Aziz Sport City Stadium
22,Sunday,2011-04-10,20:35:00,Al Ahli SC,Al-Nassr,0,0,16167,Prince Abdullah Al-Faisal Stadium
23,Thursday,2011-04-21,20:40:00,Al-Taawon,Al-Faisaly,4,1,5201,King Abdullah Sport City Stadium
23,Thursday,2011-04-21,20:40:00,Al-Hazem,Al-Ettifaq,1,4,6,Alhazm Club Stadium
23,Friday,2011-04-22,20:40:00,Najran,Al Wehda,1,5,1655,AlAkhdoud Club Stadium
23,Friday,2011-04-22,20:40:00,Al-Raed,Al Qadisiya,1,4,9100,King Abdullah Sport City Stadium
23,Sunday,2011-04-24,20:40:00,Al-Nassr,Al-Hilal,0,1,10654,King Fahad International Stadium
23,Sunday,2011-04-24,20:40:00,Al-Ittihad FC,Al-Fateh,2,0,648,Prince Abdullah Al-Faisal Stadium
23,Monday,2011-04-25,20:40:00,Al-Shabab,Al Ahli SC,2,1,595,Prince Faisal bin Fahad Stadium
24,Friday,2011-04-29,20:40:00,Al-Ittihad FC,Al Qadisiya,2,2,889,Prince Abdullah Al-Faisal Stadium
24,Friday,2011-04-29,20:40:00,Al-Hilal,Al-Raed,2,1,5528,Prince Faisal bin Fahad Stadium
24,Friday,2011-04-29,20:40:00,Al-Ettifaq,Al-Nassr,3,0,8315,Prince Mohamed bin Fahd Stadium
24,Friday,2011-04-29,20:40:00,Al Wehda,Al-Shabab,1,2,563,King Abdul Aziz Sport City Stadium
24,Saturday,2011-04-30,20:40:00,Al-Hazem,Najran,0,3,24,Alhazm Club Stadium
24,Saturday,2011-04-30,20:40:00,Al-Fateh,Al-Taawon,1,3,133,Prince Abdullah Bin Jalawi Sport City Stadium
24,Saturday,2011-04-30,20:40:00,Al Ahli SC,Al-Faisaly,3,0,1158,Prince Abdullah Al-Faisal Stadium
15,Thursday,2011-05-05,20:45:00,Al Wehda,Al Qadisiya,0,0,302,King Abdul Aziz Sport City Stadium
25,Sunday,2011-05-15,20:50:00,Najran,Al-Fateh,2,1,1160,AlAkhdoud Club Stadium
25,Sunday,2011-05-15,20:50:00,Al-Taawon,Al-Ettifaq,0,1,8802,King Abdullah Sport City Stadium
25,Sunday,2011-05-15,20:50:00,Al-Shabab,Al-Ittihad FC,1,1,1118,King Fahad International Stadium
25,Sunday,2011-05-15,20:50:00,Al-Nassr,Al-Hazem,2,1,1603,Prince Faisal bin Fahad Stadium
25,Sunday,2011-05-15,20:50:00,Al-Faisaly,Al-Raed,1,3,833,King Salman Bin Abdul Aziz Sport City Stadium
25,Sunday,2011-05-15,20:50:00,Al Qadisiya,Al-Hilal,0,2,4496,Prince Saud Bin Jalawi Sport City Stadium
25,Sunday,2011-05-15,20:50:00,Al Ahli SC,Al Wehda,3,2,2143,Prince Abdullah Al-Faisal Stadium
26,Friday,2011-05-20,20:55:00,Al-Raed,Al Ahli SC,2,3,6763,King Abdullah Sport City Stadium
