Weak,Day,Date,Time,Home,Away,ScoreH,ScoreA,Attendance,Venue
8,Tuesday,2011-11-01,19:45:00,Al Ahli SC,Al-Ettifaq,0,0,9287,Prince Abdullah Al-Faisal Stadium
8,Wednesday,2011-11-02,19:45:00,Al-Taawon,Najran,1,4,2630,King Abdullah Sport City Stadium
8,Wednesday,2011-11-02,19:45:00,Al-Shabab,Al-Nassr,2,2,4357,Prince Faisal bin Fahad Stadium
8,Wednesday,2011-11-02,19:45:00,Al-Faisaly,Al Ansar,2,1,550,King Salman Bin Abdul Aziz Sport City Stadium
8,Wednesday,2011-11-02,19:45:00,Al Qadisiya,Al-Ittihad FC,0,8,2390,Prince Mohamed bin Fahd Stadium
9,Friday,2011-11-18,19:35:00,Al-Raed,Al Qadisiya,1,0,6482,King Abdullah Sport City Stadium
9,Friday,2011-11-18,19:35:00,Al-Ittihad FC,Al-Faisaly,4,2,3277,Prince Abdullah Al-Faisal Stadium
9,Friday,2011-11-18,19:35:00,Al-Fateh,Al-Shabab,0,1,873,Prince Abdullah Bin Jalawi Sport City Stadium
9,Friday,2011-11-18,19:35:00,Al-Ettifaq,Al-Taawon,5,1,1121,Prince Mohamed bin Fahd Stadium
9,Saturday,2011-11-19,19:35:00,Hajer,Al Ahli SC,0,2,870,Prince Abdullah Bin Jalawi Sport City Stadium
9,Saturday,2011-11-19,19:35:00,Al-Nassr,Najran,3,2,1576,Prince Faisal bin Fahad Stadium
9,Saturday,2011-11-19,19:35:00,Al Ansar,Al-Hilal,0,2,18400,Prince Mohammed bin Abdul Aziz Stadium
2,Tuesday,2011-11-22,19:35:00,Al-Ittihad FC,Al-Fateh,1,2,3174,Prince Abdullah Al-Faisal Stadium
10,Thursday,2011-11-24,19:35:00,Al-Nassr,Al-Hilal,0,3,17945,Prince Faisal bin Fahad Stadium
10,Thursday,2011-11-24,19:35:00,Al-Ettifaq,Al-Raed,1,1,1036,Prince Mohamed bin Fahd Stadium
10,Friday,2011-11-25,19:35:00,Al-Shabab,Hajer,6,1,1175,Prince Faisal bin Fahad Stadium
10,Friday,2011-11-25,19:35:00,Al-Faisaly,Al-Taawon,1,1,395,King Salman Bin Abdul Aziz Sport City Stadium
10,Friday,2011-11-25,19:35:00,Al Ahli SC,Al Qadisiya,2,1,5344,Prince Abdullah Al-Faisal Stadium
10,Saturday,2011-11-26,19:35:00,Najran,Al-Ittihad FC,1,1,1828,AlAkhdoud Club Stadium
10,Saturday,2011-11-26,19:35:00,Al-Fateh,Al Ansar,3,0,333,Prince Abdullah Bin Jalawi Sport City Stadium
11,Wednesday,2011-11-30,19:35:00,Al-Shabab,Al-Ettifaq,1,0,1193,Prince Faisal bin Fahad Stadium
11,Wednesday,2011-11-30,19:35:00,Al Qadisiya,Al-Faisaly,2,2,28,Prince Saud Bin Jalawi Sport City Stadium
11,Thursday,2011-12-01,15:15:00,Al-Taawon,Al-Nassr,1,2,7630,King Abdullah Sport City Stadium
11,Thursday,2011-12-01,19:35:00,Al-Ittihad FC,Al Ahli SC,1,3,16195,Prince Abdullah Al-Faisal Stadium
11,Friday,2011-12-02,15:05:00,Al-Hilal,Al-Fateh,3,2,5680,Prince Faisal bin Fahad Stadium
11,Friday,2011-12-02,15:15:00,Al-Raed,Al Ansar,3,2,2734,King Abdullah Sport City Stadium
11,Friday,2011-12-02,15:25:00,Najran,Hajer,1,1,469,AlAkhdoud Club Stadium
12,Thursday,2011-12-08,15:05:00,Al-Nassr,Al-Ittihad FC,1,3,4794,Prince Faisal bin Fahad Stadium
12,Thursday,2011-12-08,15:35:00,Al Ansar,Al-Shabab,0,2,2694,Prince Mohammed bin Abdul Aziz Stadium
12,Thursday,2011-12-08,19:35:00,Al Ahli SC,Al-Raed,1,0,9018,Prince Abdullah Al-Faisal Stadium
12,Friday,2011-12-09,15:05:00,Al-Hilal,Najran,2,1,5247,Prince Faisal bin Fahad Stadium
12,Friday,2011-12-09,15:10:00,Al-Faisaly,Al-Ettifaq,1,4,559,King Salman Bin Abdul Aziz Sport City Stadium
12,Friday,2011-12-09,15:15:00,Al-Taawon,Al-Fateh,3,3,3006,King Abdullah Sport City Stadium
12,Friday,2011-12-09,19:35:00,Hajer,Al Qadisiya,1,0,820,Prince Abdullah Bin Jalawi Sport City Stadium
13,Thursday,2011-12-15,14:50:00,Al-Fateh,Al-Faisaly,2,1,321,Prince Abdullah Bin Jalawi Sport City Stadium
13,Thursday,2011-12-15,15:35:00,Najran,Al Ansar,2,1,273,AlAkhdoud Club Stadium
13,Thursday,2011-12-15,19:35:00,Al-Ettifaq,Al-Hilal,2,2,18016,Prince Mohamed bin Fahd Stadium
13,Friday,2011-12-16,15:05:00,Al-Shabab,Al Ahli SC,1,1,5860,Prince Faisal bin Fahad Stadium
13,Friday,2011-12-16,15:15:00,Al-Raed,Al-Taawon,2,0,10635,King Abdullah Sport City Stadium
13,Friday,2011-12-16,19:35:00,Al-Ittihad FC,Hajer,7,0,4055,Prince Abdullah Al-Faisal Stadium
13,Friday,2011-12-16,19:35:00,Al Qadisiya,Al-Nassr,2,1,3304,Prince Saud Bin Jalawi Sport City Stadium
7,Sunday,2011-12-25,19:45:00,Najran,Al Qadisiya,2,2,323,AlAkhdoud Club Stadium
7,Sunday,2011-12-25,19:45:00,Al-Faisaly,Al Ahli SC,0,1,1466,King Salman Bin Abdul Aziz Sport City Stadium
7,Sunday,2011-12-25,19:45:00,Al Ansar,Al-Nassr,0,2,8190,Prince Mohammed bin Abdul Aziz Stadium
7,Monday,2011-12-26,19:45:00,Al-Hilal,Al-Ittihad FC,1,1,14827,Prince Faisal bin Fahad Stadium
14,Thursday,2011-12-29,19:45:00,Al-Ettifaq,Al Qadisiya,3,2,2429,Prince Mohamed bin Fahd Stadium
14,Thursday,2011-12-29,19:45:00,Al Ahli SC,Al Ansar,5,1,8771,Prince Abdullah Al-Faisal Stadium
14,Friday,2011-12-30,15:15:00,Al-Shabab,Al-Faisaly,1,1,1213,Prince Faisal bin Fahad Stadium
14,Friday,2011-12-30,15:25:00,Al-Raed,Al-Nassr,1,4,8420,King Abdullah Sport City Stadium
14,Friday,2011-12-30,15:40:00,Najran,Al-Fateh,0,0,485,AlAkhdoud Club Stadium
14,Saturday,2011-12-31,19:45:00,Al-Taawon,Al-Ittihad FC,2,1,9632,King Abdullah Sport City Stadium
14,Saturday,2011-12-31,19:45:00,Al-Hilal,Hajer,3,1,2649,Prince Faisal bin Fahad Stadium
15,Wednesday,2012-01-04,19:50:00,Al-Shabab,Al-Hilal,0,0,8123,Prince Faisal bin Fahad Stadium
15,Wednesday,2012-01-04,19:50:00,Al-Fateh,Al-Ittihad FC,3,2,2147,Prince Abdullah Bin Jalawi Sport City Stadium
15,Wednesday,2012-01-04,19:50:00,Al-Faisaly,Al-Raed,2,1,1049,King Salman Bin Abdul Aziz Sport City Stadium
15,Wednesday,2012-01-04,19:50:00,Al Qadisiya,Al Ansar,2,1,239,Prince Saud Bin Jalawi Sport City Stadium
15,Thursday,2012-01-05,15:05:00,Hajer,Al-Taawon,2,1,345,Prince Abdullah Bin Jalawi Sport City Stadium
15,Thursday,2012-01-05,15:20:00,Al-Nassr,Al Ahli SC,1,3,7450,Prince Faisal bin Fahad Stadium
15,Thursday,2012-01-05,19:50:00,Al-Ettifaq,Najran,3,3,1100,Prince Mohamed bin Fahd Stadium
6,Sunday,2012-01-08,19:50:00,Al-Ittihad FC,Al-Raed,1,1,2620,Prince Abdullah Al-Faisal Stadium
16,Wednesday,2012-01-11,19:55:00,Najran,Al Ahli SC,0,4,2330,AlAkhdoud Club Stadium
16,Wednesday,2012-01-11,19:55:00,Al-Hilal,Al-Taawon,1,1,4732,Prince Faisal bin Fahad Stadium
16,Wednesday,2012-01-11,19:55:00,Al Ansar,Hajer,0,2,48,Prince Mohammed bin Abdul Aziz Stadium
16,Thursday,2012-01-12,15:25:00,Al-Nassr,Al-Faisaly,1,1,1670,Prince Faisal bin Fahad Stadium
16,Thursday,2012-01-12,15:35:00,Al-Raed,Al-Fateh,1,2,3329,King Abdullah Sport City Stadium
16,Thursday,2012-01-12,19:55:00,Al-Ittihad FC,Al-Ettifaq,0,1,6600,Prince Abdullah Al-Faisal Stadium
16,Thursday,2012-01-12,19:55:00,Al Qadisiya,Al-Shabab,1,2,1056,Prince Saud Bin Jalawi Sport City Stadium
17,Wednesday,2012-01-18,20:00:00,Al-Shabab,Al-Raed,3,2,1479,Prince Faisal bin Fahad Stadium
17,Wednesday,2012-01-18,20:00:00,Al-Fateh,Al-Nassr,0,1,3839,Prince Abdullah Bin Jalawi Sport City Stadium
17,Wednesday,2012-01-18,20:00:00,Al Ansar,Al-Ittihad FC,1,3,18009,Prince Mohammed bin Abdul Aziz Stadium
17,Thursday,2012-01-19,15:35:00,Al-Faisaly,Najran,4,1,1059,King Salman Bin Abdul Aziz Sport City Stadium
17,Thursday,2012-01-19,15:40:00,Al-Taawon,Al Qadisiya,2,2,4163,King Abdullah Sport City Stadium
17,Thursday,2012-01-19,20:00:00,Hajer,Al-Ettifaq,0,1,1670,Prince Abdullah Bin Jalawi Sport City Stadium
17,Thursday,2012-01-19,20:00:00,Al Ahli SC,Al-Hilal,1,0,17150,Prince Abdullah Al-Faisal Stadium
18,Wednesday,2012-02-01,20:10:00,Najran,Al-Raed,3,1,306,AlAkhdoud Club Stadium
18,Wednesday,2012-02-01,20:10:00,Al-Nassr,Hajer,0,0,1417,Prince Faisal bin Fahad Stadium
18,Wednesday,2012-02-01,20:10:00,Al-Ettifaq,Al Ansar,1,1,998,Prince Mohamed bin Fahd Stadium
18,Thursday,2012-02-02,15:40:00,Al-Hilal,Al-Faisaly,2,1,1243,Prince Faisal bin Fahad Stadium
18,Thursday,2012-02-02,15:50:00,Al-Taawon,Al Ahli SC,0,2,3743,King Abdullah Sport City Stadium
18,Thursday,2012-02-02,20:10:00,Al-Ittihad FC,Al-Shabab,0,2,8227,Prince Abdullah Al-Faisal Stadium
18,Thursday,2012-02-02,20:10:00,Al Qadisiya,Al-Fateh,1,2,363,Prince Saud Bin Jalawi Sport City Stadium
19,Monday,2012-02-06,20:15:00,Al-Hilal,Al Qadisiya,3,0,2534,Prince Faisal bin Fahad Stadium
19,Monday,2012-02-06,20:15:00,Al-Ettifaq,Al-Nassr,2,0,4649,Prince Mohamed bin Fahd Stadium
19,Tuesday,2012-02-07,20:15:00,Al-Shabab,Najran,4,0,1435,Prince Faisal bin Fahad Stadium
19,Tuesday,2012-02-07,20:15:00,Al-Raed,Al-Ittihad FC,2,0,5243,King Abdullah Sport City Stadium
19,Tuesday,2012-02-07,20:15:00,Al-Faisaly,Hajer,2,2,1050,King Salman Bin Abdul Aziz Sport City Stadium
19,Tuesday,2012-02-07,20:15:00,Al Ahli SC,Al-Fateh,3,3,9891,Prince Abdullah Al-Faisal Stadium
19,Thursday,2012-02-09,20:15:00,Al Ansar,Al-Taawon,2,1,350,Prince Mohammed bin Abdul Aziz Stadium
20,Monday,2012-02-13,20:20:00,Hajer,Al-Raed,0,2,489,Prince Abdullah Bin Jalawi Sport City Stadium
20,Monday,2012-02-13,20:20:00,Al Qadisiya,Najran,0,2,125,Prince Saud Bin Jalawi Sport City Stadium
20,Monday,2012-02-13,20:20:00,Al Ahli SC,Al-Faisaly,2,0,7033,Prince Abdullah Al-Faisal Stadium
20,Tuesday,2012-02-14,20:20:00,Al-Taawon,Al-Shabab,1,2,4532,King Abdullah Sport City Stadium
20,Tuesday,2012-02-14,20:20:00,Al-Nassr,Al Ansar,4,1,1089,Prince Faisal bin Fahad Stadium
20,Tuesday,2012-02-14,20:20:00,Al-Ittihad FC,Al-Hilal,0,2,15200,Prince Abdullah Al-Faisal Stadium
20,Monday,2012-02-27,20:20:00,Al-Fateh,Al-Ettifaq,2,1,1221,Prince Abdullah Bin Jalawi Sport City Stadium
21,Friday,2012-03-02,20:25:00,Al Ansar,Al-Faisaly,2,1,96,Prince Mohammed bin Abdul Aziz Stadium
21,Saturday,2012-03-03,20:25:00,Najran,Al-Taawon,1,1,650,AlAkhdoud Club Stadium
21,Saturday,2012-03-03,20:25:00,Al-Fateh,Hajer,1,0,2431,Prince Abdullah Bin Jalawi Sport City Stadium
21,Thursday,2012-03-08,20:25:00,Al-Nassr,Al-Shabab,1,2,3638,King Fahad International Stadium
21,Sunday,2012-03-11,20:25:00,Al-Ittihad FC,Al Qadisiya,1,0,7862,Prince Abdullah Al-Faisal Stadium
21,Monday,2012-03-12,20:25:00,Al-Raed,Al-Hilal,1,1,22523,King Abdullah Sport City Stadium
21,Monday,2012-03-12,20:25:00,Al-Ettifaq,Al Ahli SC,0,4,8544,Prince Mohamed bin Fahd Stadium
22,Thursday,2012-03-15,20:25:00,Najran,Al-Nassr,2,1,1200,AlAkhdoud Club Stadium
22,Thursday,2012-03-15,20:25:00,Al-Shabab,Al-Fateh,1,0,1893,King Fahad International Stadium
22,Thursday,2012-03-15,20:25:00,Al-Faisaly,Al-Ittihad FC,0,1,1026,King Salman Bin Abdul Aziz Sport City Stadium
22,Friday,2012-03-16,20:25:00,Al-Taawon,Al-Ettifaq,1,0,6204,King Abdullah Sport City Stadium
22,Friday,2012-03-16,20:25:00,Al-Hilal,Al Ansar,6,1,1751,Prince Faisal bin Fahad Stadium
22,Friday,2012-03-16,20:25:00,Al Ahli SC,Hajer,4,3,9767,Prince Abdullah Al-Faisal Stadium
22,Saturday,2012-03-17,20:25:00,Al Qadisiya,Al-Raed,0,1,144,Prince Saud Bin Jalawi Sport City Stadium
23,Friday,2012-03-23,20:30:00,Hajer,Al-Shabab,0,1,1753,Prince Abdullah Bin Jalawi Sport City Stadium
23,Friday,2012-03-23,20:30:00,Al-Taawon,Al-Faisaly,1,2,6407,King Abdullah Sport City Stadium
23,Sunday,2012-03-25,20:30:00,Al-Ittihad FC,Najran,2,2,6664,Prince Abdullah Al-Faisal Stadium
23,Sunday,2012-03-25,20:30:00,Al-Hilal,Al-Nassr,1,0,12117,King Fahad International Stadium
23,Sunday,2012-03-25,20:30:00,Al Qadisiya,Al Ahli SC,0,3,3366,King Fahad International Stadium
24,Thursday,2012-03-29,20:30:00,Al-Fateh,Al-Hilal,0,5,4672,Prince Abdullah Bin Jalawi Sport City Stadium
24,Thursday,2012-03-29,20:30:00,Al-Ettifaq,Al-Shabab,0,0,1558,Prince Mohamed bin Fahd Stadium
24,Thursday,2012-03-29,20:30:00,Al Ahli SC,Al-Ittihad FC,0,1,16924,Prince Abdullah Al-Faisal Stadium
24,Saturday,2012-03-31,20:30:00,Hajer,Najran,1,0,836,Prince Abdullah Bin Jalawi Sport City Stadium
24,Saturday,2012-03-31,20:30:00,Al-Nassr,Al-Taawon,5,0,967,King Fahad International Stadium
24,Saturday,2012-03-31,20:30:00,Al Ansar,Al-Raed,0,1,121,Prince Mohammed bin Abdul Aziz Stadium
24,Sunday,2012-04-01,20:30:00,Al-Faisaly,Al Qadisiya,2,2,1050,King Salman Bin Abdul Aziz Sport City Stadium
23,Wednesday,2012-04-04,20:30:00,Al Ansar,Al-Fateh,2,1,33,Prince Mohammed bin Abdul Aziz Stadium
25,Sunday,2012-04-08,20:35:00,Najran,Al-Hilal,0,2,1820,AlAkhdoud Club Stadium
25,Sunday,2012-04-08,20:35:00,Al-Shabab,Al Ansar,3,0,1817,King Fahad International Stadium
25,Sunday,2012-04-08,20:35:00,Al-Raed,Al Ahli SC,1,5,8736,King Abdullah Sport City Stadium
25,Sunday,2012-04-08,20:35:00,Al-Ittihad FC,Al-Nassr,1,1,6697,Prince Abdullah Al-Faisal Stadium
25,Sunday,2012-04-08,20:35:00,Al-Fateh,Al-Taawon,0,0,473,Prince Abdullah Bin Jalawi Sport City Stadium
25,Sunday,2012-04-08,20:35:00,Al-Ettifaq,Al-Faisaly,1,2,203,Prince Mohamed bin Fahd Stadium
25,Sunday,2012-04-08,20:35:00,Al Qadisiya,Hajer,1,1,176,Prince Saud Bin Jalawi Sport City Stadium
26,Friday,2012-04-13,20:40:00,Al-Taawon,Al-Raed,0,2,18624,King Abdullah Sport City Stadium
26,Friday,2012-04-13,20:40:00,Al-Nassr,Al Qadisiya,3,2,588,Prince Faisal bin Fahad Stadium
26,Friday,2012-04-13,21:30:00,Hajer,Al-Ittihad FC,0,0,683,Prince Abdullah Bin Jalawi Sport City Stadium
26,Saturday,2012-04-14,20:40:00,Al-Hilal,Al-Ettifaq,3,3,352,King Fahad International Stadium
26,Saturday,2012-04-14,20:40:00,Al Ahli SC,Al-Shabab,1,1,17200,Prince Abdullah Al-Faisal Stadium
23,Wednesday,2012-04-18,20:40:00,Al-Raed,Al-Ettifaq,1,2,6905,King Abdullah Sport City Stadium
26,Wednesday,2012-04-18,20:40:00,Al-Faisaly,Al-Fateh,1,0,1000,King Salman Bin Abdul Aziz Sport City Stadium
26,Wednesday,2012-04-18,20:40:00,Al Ansar,Najran,1,2,33,Prince Mohammed bin Abdul Aziz Stadium
1,Thursday,2012-08-02,22:00:00,Al-Fateh,Al-Nassr,1,1,3925,Prince Abdullah Bin Jalawi Sport City Stadium
1,Thursday,2012-08-02,22:00:00,Al-Ettifaq,Al Wehda,1,1,732,Prince Mohamed bin Fahd Stadium
1,Thursday,2012-08-02,22:15:00,Al-Shabab,Najran,4,0,1531,King Fahad International Stadium
1,Thursday,2012-08-02,22:20:00,Al-Raed,Al-Ittihad FC,2,2,5202,King Abdullah Sport City Stadium
1,Thursday,2012-08-02,22:30:00,Al Ahli SC,Al-Shoalah,5,0,11344,Prince Abdullah Al-Faisal Stadium
1,Friday,2012-08-03,22:00:00,Hajer,Al-Hilal,2,2,4737,Prince Abdullah Bin Jalawi Sport City Stadium
1,Friday,2012-08-03,22:20:00,Al-Taawon,Al-Faisaly,2,0,1279,King Abdullah Sport City Stadium
2,Monday,2012-08-06,22:15:00,Al-Nassr,Al-Raed,4,0,3633,King Fahad International Stadium
2,Monday,2012-08-06,22:20:00,Al-Ittihad FC,Al-Ettifaq,3,0,14600,Prince Abdullah Al-Faisal Stadium
2,Monday,2012-08-06,22:30:00,Al Wehda,Al-Shoalah,2,3,743,King Abdul Aziz Stadium
2,Tuesday,2012-08-07,22:15:00,Najran,Hajer,2,2,1321,AlAkhdoud Club Stadium
2,Tuesday,2012-08-07,22:15:00,Al-Hilal,Al-Fateh,1,2,7435,King Fahad International Stadium
2,Tuesday,2012-08-07,22:15:00,Al-Faisaly,Al-Shabab,1,3,1238,King Salman Bin Abdul Aziz Sport City Stadium
3,Thursday,2012-08-23,20:40:00,Najran,Al-Hilal,0,6,3500,AlAkhdoud Club Stadium
3,Thursday,2012-08-23,20:40:00,Al-Shoalah,Al-Fateh,2,3,160,Al-Shoalah Club Stadium
3,Thursday,2012-08-23,20:40:00,Al-Raed,Al-Faisaly,1,0,2270,King Abdullah Sport City Stadium
3,Thursday,2012-08-23,20:40:00,Al-Nassr,Al-Ittihad FC,0,1,9660,King Fahad International Stadium
3,Thursday,2012-08-23,20:40:00,Al-Ettifaq,Al-Taawon,2,0,531,Prince Mohamed bin Fahd Stadium
3,Friday,2012-08-24,20:40:00,Hajer,Al Wehda,2,0,265,Prince Abdullah Bin Jalawi Sport City Stadium
3,Friday,2012-08-24,20:40:00,Al-Shabab,Al Ahli SC,2,2,5245,Prince Faisal bin Fahad Stadium
4,Monday,2012-08-27,20:40:00,Al-Taawon,Al-Nassr,1,2,5340,King Abdullah Sport City Stadium
4,Monday,2012-08-27,20:40:00,Al-Shoalah,Najran,1,5,77,Al-Shoalah Club Stadium
4,Monday,2012-08-27,20:40:00,Al-Ittihad FC,Al-Faisaly,2,2,13171,Prince Abdullah Al-Faisal Stadium
4,Monday,2012-08-27,20:40:00,Al-Hilal,Al-Ettifaq,1,1,7385,Prince Faisal bin Fahad Stadium
4,Tuesday,2012-08-28,20:40:00,Al-Fateh,Al-Raed,2,1,856,Prince Abdullah Bin Jalawi Sport City Stadium
4,Tuesday,2012-08-28,20:40:00,Al Wehda,Al-Shabab,2,5,2000,King Abdul Aziz Stadium
4,Tuesday,2012-08-28,20:40:00,Al Ahli SC,Hajer,0,0,10590,Prince Abdullah Al-Faisal Stadium
5,Saturday,2012-09-01,20:35:00,Al-Nassr,Al-Hilal,1,3,14162,King Fahad International Stadium
5,Saturday,2012-09-01,20:35:00,Al-Faisaly,Al-Shoalah,0,2,1050,King Salman Bin Abdul Aziz Sport City Stadium
5,Sunday,2012-09-02,20:35:00,Najran,Al-Ettifaq,1,0,302,AlAkhdoud Club Stadium
5,Sunday,2012-09-02,20:35:00,Hajer,Al-Ittihad FC,0,2,4142,Prince Abdullah Bin Jalawi Sport City Stadium
5,Sunday,2012-09-02,20:35:00,Al-Shabab,Al-Fateh,2,4,1832,Prince Faisal bin Fahad Stadium
5,Sunday,2012-09-02,20:35:00,Al-Raed,Al-Taawon,1,0,7973,King Abdullah Sport City Stadium
5,Sunday,2012-09-02,20:35:00,Al Ahli SC,Al Wehda,2,1,6743,Prince Abdullah Al-Faisal Stadium
6,Friday,2012-09-14,20:25:00,Al-Taawon,Al-Fateh,0,1,705,King Abdullah Sport City Stadium
6,Friday,2012-09-14,20:25:00,Al-Shoalah,Al-Hilal,1,3,3455,Prince Faisal bin Fahad Stadium
6,Friday,2012-09-14,20:25:00,Al-Ettifaq,Al-Faisaly,1,1,417,Prince Mohamed bin Fahd Stadium
6,Saturday,2012-09-15,20:25:00,Al-Raed,Al-Shabab,0,1,4309,King Abdullah Sport City Stadium
6,Saturday,2012-09-15,20:25:00,Al-Nassr,Hajer,1,0,1383,King Fahad International Stadium
6,Saturday,2012-09-15,20:25:00,Al Wehda,Najran,1,2,350,King Abdul Aziz Stadium
7,Friday,2012-09-21,20:15:00,Hajer,Al-Raed,1,2,643,Prince Abdullah Bin Jalawi Sport City Stadium
7,Friday,2012-09-21,20:15:00,Al-Shoalah,Al-Taawon,1,0,374,Al-Shoalah Club Stadium
7,Saturday,2012-09-22,20:15:00,Al-Fateh,Najran,4,2,4247,Prince Abdullah Bin Jalawi Sport City Stadium
7,Monday,2012-09-24,20:15:00,Al-Ittihad FC,Al Wehda,1,0,6702,Prince Abdullah Al-Faisal Stadium
7,Monday,2012-09-24,20:15:00,Al-Hilal,Al-Shabab,3,0,4052,King Fahad International Stadium
7,Monday,2012-09-24,20:15:00,Al-Faisaly,Al Ahli SC,0,3,745,King Salman Bin Abdul Aziz Sport City Stadium
8,Friday,2012-09-28,20:10:00,Najran,Al-Taawon,1,1,360,AlAkhdoud Club Stadium
8,Friday,2012-09-28,20:10:00,Hajer,Al-Faisaly,3,3,388,Prince Abdullah Bin Jalawi Sport City Stadium
8,Friday,2012-09-28,20:10:00,Al-Shabab,Al-Shoalah,2,1,1120,King Fahad International Stadium
8,Friday,2012-09-28,20:10:00,Al-Hilal,Al-Raed,6,0,3570,Prince Faisal bin Fahad Stadium
8,Saturday,2012-09-29,20:10:00,Al-Nassr,Al Wehda,3,1,1612,King Fahad International Stadium
9,Thursday,2012-10-04,20:00:00,Al-Raed,Al-Shoalah,2,2,1243,King Abdullah Sport City Stadium
9,Thursday,2012-10-04,20:00:00,Al-Faisaly,Al-Fateh,0,0,1075,King Salman Bin Abdul Aziz Sport City Stadium
9,Friday,2012-10-05,20:00:00,Al-Shabab,Al-Nassr,2,1,6750,Prince Faisal bin Fahad Stadium
9,Sunday,2012-10-07,20:00:00,Najran,Al Ahli SC,2,0,1087,AlAkhdoud Club Stadium
9,Sunday,2012-10-07,20:00:00,Al-Taawon,Al-Ittihad FC,3,3,1591,King Abdullah Sport City Stadium
9,Sunday,2012-10-07,20:00:00,Al-Ettifaq,Hajer,3,1,160,Prince Mohamed bin Fahd Stadium
9,Sunday,2012-10-07,20:00:00,Al Wehda,Al-Hilal,1,2,1853,King Abdul Aziz Stadium
10,Friday,2012-10-19,19:50:00,Al-Shoalah,Al-Ettifaq,0,1,350,Al-Shoalah Club Stadium
10,Friday,2012-10-19,19:50:00,Al-Fateh,Hajer,3,0,5904,Prince Abdullah Bin Jalawi Sport City Stadium
10,Friday,2012-10-19,19:50:00,Al-Faisaly,Al Wehda,4,3,1100,King Salman Bin Abdul Aziz Sport City Stadium
10,Saturday,2012-10-20,19:50:00,Al-Taawon,Al-Shabab,0,1,2625,King Abdullah Sport City Stadium
10,Saturday,2012-10-20,19:50:00,Al-Nassr,Najran,1,1,2804,King Fahad International Stadium
11,Thursday,2012-11-01,19:40:00,Al-Hilal,Al-Faisaly,1,0,1980,Prince Faisal bin Fahad Stadium
11,Thursday,2012-11-01,19:40:00,Al-Ettifaq,Al-Shabab,3,1,1614,Prince Mohamed bin Fahd Stadium
11,Friday,2012-11-02,19:40:00,Hajer,Al-Taawon,0,1,275,Prince Abdullah Bin Jalawi Sport City Stadium
11,Friday,2012-11-02,19:40:00,Al-Nassr,Al-Shoalah,3,1,900,Prince Faisal bin Fahad Stadium
11,Sunday,2012-11-04,19:40:00,Najran,Al-Ittihad FC,2,0,1305,AlAkhdoud Club Stadium
11,Sunday,2012-11-04,19:40:00,Al Wehda,Al-Raed,0,1,250,King Abdul Aziz Stadium
12,Thursday,2012-11-08,19:40:00,Al-Shoalah,Hajer,0,0,180,Al-Shoalah Club Stadium
12,Friday,2012-11-09,19:40:00,Najran,Al-Faisaly,0,1,1302,AlAkhdoud Club Stadium
12,Friday,2012-11-09,19:40:00,Al-Fateh,Al Wehda,3,1,4053,Prince Abdullah Bin Jalawi Sport City Stadium
12,Friday,2012-11-09,19:40:00,Al-Ettifaq,Al-Raed,1,0,662,Prince Mohamed bin Fahd Stadium
12,Saturday,2012-11-10,19:40:00,Al-Taawon,Al-Hilal,1,4,7397,King Abdullah Sport City Stadium
12,Saturday,2012-11-10,19:40:00,Al-Shabab,Al-Ittihad FC,2,2,3387,King Fahad International Stadium
2,Saturday,2012-11-17,19:35:00,Al-Taawon,Al Ahli SC,2,1,1335,King Abdullah Sport City Stadium
8,Saturday,2012-11-17,19:35:00,Al-Fateh,Al-Ittihad FC,2,1,5760,Prince Abdullah Bin Jalawi Sport City Stadium
7,Saturday,2012-11-17,19:35:00,Al-Ettifaq,Al-Nassr,1,3,5186,Prince Mohamed bin Fahd Stadium
13,Wednesday,2012-11-21,19:35:00,Al-Hilal,Al Ahli SC,4,1,12179,King Fahad International Stadium
13,Wednesday,2012-11-21,19:35:00,Al-Fateh,Al-Ettifaq,1,0,2587,Prince Abdullah Bin Jalawi Sport City Stadium
13,Wednesday,2012-11-21,19:35:00,Al Wehda,Al-Taawon,1,1,250,King Abdul Aziz Stadium
13,Thursday,2012-11-22,19:35:00,Hajer,Al-Shabab,1,2,479,Prince Abdullah Bin Jalawi Sport City Stadium
13,Thursday,2012-11-22,19:35:00,Al-Raed,Najran,1,1,1959,King Abdullah Sport City Stadium
13,Thursday,2012-11-22,19:35:00,Al-Ittihad FC,Al-Shoalah,1,0,7398,Prince Abdullah Al-Faisal Stadium
13,Thursday,2012-11-22,19:35:00,Al-Faisaly,Al-Nassr,1,2,2167,King Salman Bin Abdul Aziz Sport City Stadium
8,Monday,2012-11-26,19:35:00,Al Ahli SC,Al-Ettifaq,0,2,5806,King Abdul Aziz Stadium
14,Thursday,2012-11-29,19:35:00,Najran,Al-Shabab,2,3,630,AlAkhdoud Club Stadium
6,Friday,2012-11-30,19:45:00,Al-Ittihad FC,Al Ahli SC,1,3,22993,King Abdul Aziz Stadium
14,Tuesday,2012-12-04,19:35:00,Al-Shoalah,Al Ahli SC,1,3,1500,Al-Shoalah Club Stadium
14,Tuesday,2012-12-04,19:35:00,Al-Ittihad FC,Al-Raed,2,2,2401,King Abdul Aziz Stadium
14,Tuesday,2012-12-04,19:35:00,Al-Hilal,Hajer,2,0,2800,King Fahad International Stadium
