Home_team,Away_team,Attendance,Venue
Al-Faisaly,Al-Wehda,636,King Salman Bin Abdul Aziz Sport City Stadium
Al-Raed,Al-Shabab,4134,King Abdullah Sport City Stadium
Al-Taawoun,Al-Hilal,11220,King Abdullah Sport City Stadium
Al-Qadsiah,Al-Fateh,174,Prince Saud Bin Jalawi Sport City Stadium
Al-Nassr,Najran,3009,Prince Faisal bin Fahad Stadium
Al-Hazem,Al-Ahli,214,Alhazm Club Stadium
Al-Ettifaq,Al-Ittihad,10032,Prince Mohamed bin Fahd Stadium
Al-Shabab,Al-Taawoun,291,Prince Faisal bin Fahad Stadium
Al-Hilal,Al-Hazem,3968,Prince Faisal bin Fahad Stadium
Al-Fateh,Al-Nassr,7143,Prince Abdullah Bin Jalawi Sport City Stadium
Al-Ahli,Al-Ettifaq,5938,Prince Abdullah Al-Faisal Stadium
Najran,Al-Raed,369,AlAkhdoud Club Stadium
Al-Ittihad,Al-Faisaly,9446,Prince Abdullah Al-Faisal Stadium
Al-Shabab,Al-Qadsiah,346,Prince Faisal bin Fahad Stadium
Al-Hilal,Al-Fateh,4375,Prince Faisal bin Fahad Stadium
Najran,Al-Ittihad,1729,AlAkhdoud Club Stadium
Al-Nassr,Al-Taawoun,3690,Prince Faisal bin Fahad Stadium
Al-Wehda,Al-Raed,261,King Abdul Aziz Sport City Stadium
Al-Fateh,Al-Ahli,2860,Prince Abdullah Bin Jalawi Sport City Stadium
Al-Faisaly,Al-Hilal,5022,King Salman Bin Abdul Aziz Sport City Stadium
Al-Ettifaq,Al-Shabab,3240,Prince Mohamed bin Fahd Stadium
Al-Qadsiah,Al-Hazem,100,Prince Saud Bin Jalawi Sport City Stadium
Al-Shabab,Al-Hazem,66,Prince Faisal bin Fahad Stadium
Al-Ittihad,Al-Hilal,14425,Prince Abdullah Al-Faisal Stadium
Al-Raed,Al-Fateh,5501,King Abdullah Sport City Stadium
Al-Faisaly,Al-Ettifaq,617,King Salman Bin Abdul Aziz Sport City Stadium
Al-Ahli,Najran,6540,Prince Abdullah Al-Faisal Stadium
Al-Taawoun,Al-Qadsiah,2610,King Abdullah Sport City Stadium
Al-Shabab,Al-Nassr,9366,King Fahad International Stadium
Al-Hilal,Al-Wehda,5119,Prince Faisal bin Fahad Stadium
Al-Hazem,Al-Ittihad,633,Alhazm Club Stadium
Al-Shabab,Al-Hilal,7997,Prince Faisal bin Fahad Stadium
Al-Nassr,Al-Faisaly,3290,Prince Faisal bin Fahad Stadium
Al-Ittihad,Al-Ahli,15758,Prince Abdullah Al-Faisal Stadium
Al-Wehda,Al-Hazem,233,King Abdul Aziz Sport City Stadium
Najran,Al-Ettifaq,1460,AlAkhdoud Club Stadium
Al-Raed,Al-Taawoun,14909,King Abdullah Sport City Stadium
